Sample ID,Gene Name,0894E,10763,24713,30862,36F37,668C5,74B28,94BFD,99EC2,A4A2E,117DD,1A5CC,1ED9C,24713-LV3,7EB7D,838CA,A3CD2,B2539,B367E,BDC56,E2C05,E5076,105A1,135D6,19A26,23EE4,24713-LV2,24BE8,39D8F,70146,7B6D3,98D38,BE497-LV1,C35CE,02B37,29B5D,5F02C,7CE52,978FA,B367E,B54F0-LV1,C472B,CEDF2,CF462,E4F33,14C39-LV,246D8-LV2,27D6D-LV2,31331-LV1,31331-LV3,32B32-LV2,59B77-LV2,6634F-LV2,78BBB-LV1,0A105-LV1,0A105-LV2,0A105-LV3,78BBB-LV2,78BBB-LV3,AF1FF-LV2,AFAA5-LV2,B23E3-LV2,B23E3-LV3,B25DF-LV2,B54F0,B8BE2-LV2,D6A67-LV2,DC737-LV2,EF5CB-LV2,43149-LV2,5F09B-LV2,1952B,80993-LV2,8E214-LV2,93EF1-LV2,98578-LV2,A7A62-LV2,C535E-LV2,D03B3-LV2,E1FF3-LV2,E344C-LV2,105A1-LV2,207EB-LV2,2E9CE-LV2,4E8C1-LV2,4EBAA-LV2,541DB-LV2,589A0-LV2,B1069-LV2,E9D4C-LV2,F2517-LV2,F3CE1-LV2,F8EE8-LV2
Endogenous,TIMP3,17514.3,25543.99,29290.28,20108.34,18119.84,16497.3,14735.93,18294.65,12931.33,19357.05,17443.91,18806.27,23554.27,30338.78,22073.58,19643.6,14907.14,24085.33,16546.23,18293.04,21348.56,17682.97,23352.01,19529.28,24099.72,22395.39,25910.7,21438.94,12122.54,12935.46,16707.74,10852.15,43333.14,12578.73,15673.28,16695.93,24574.43,10467.31,25258.94,16746.07,19092.36,23107.03,28739.52,25154.99,9326.27,13346.29,18157.71,21155.27,22793.24,24535.15,13117.96,16706.32,20410.94,21472.6,28517.04,15041.99,34180.53,24386.8,22249.53,14984.88,20974.96,34730.71,38386.49,17695.92,27836.06,11579.11,18641.76,14636.63,12917.19,13141.67,18835.44,15100.44,28811.79,18586.72,22367.63,11384.32,10187.42,21438.08,18397.79,13718.95,16401.53,20345.58,12487.6,11966.74,20475.67,12293.94,23128.41,20738.29,16507.55,33025.55,14908.53,14344.95,18969.2
Endogenous,TIMP4,730.29,2779.79,3117.71,740.86,320.71,1076.41,662.25,2763.25,790.81,605.36,2040.48,691.83,1579.34,2599.45,679.05,1230.84,834.29,1839.45,1264.26,3943.99,1402.3,1295.22,1098.86,707.91,836.22,737.96,3073.29,1147.95,350.81,879.33,1662.66,854.63,2943.32,690.96,2034.51,1276.06,1825.36,534.24,1066.5,1249.46,302.78,690.44,973.97,2020.54,860.48,431.07,1156.87,1232.12,1841.52,1680.59,844.4,1603.32,740.21,3492,4482.51,865.76,3162.7,3690.73,4174.1,1234.48,1640.71,2570.66,2623.54,1055.94,576.64,987.5,1416.05,1037.38,755.22,607.23,1483.84,805.3,1352.41,906.4,2198.58,424.7,653.35,1219.53,1480.2,681.08,1070.83,1229.08,702.49,873.66,2519.69,446.3,1527.19,2118.82,933.92,3697.3,950,978.3,853.32
Endogenous,TNN,95.26,56.35,25.8,76.48,152.72,92.1,86.53,13.61,50.61,72.64,32.77,73.69,23.78,39.61,17.19,65.18,46.58,57.48,110.83,48.1,60.22,42.12,79.49,49.5,118.81,44.12,15.58,47.5,64.97,50.89,58.58,80.63,53.84,84.85,715.85,61.25,51.61,67.57,58.23,101.46,34.28,22.58,52.62,53.57,39.71,33.71,46.27,83.71,43.19,56.14,66.54,42.49,36,32.04,15.72,24.16,48.39,17.51,37.07,65.8,54.5,44.69,70.86,68.87,55.21,38.07,26.55,51.09,67.88,53.28,49.14,43.21,34.58,31.68,30.52,24.76,24.4,66.29,124.88,33.76,47.23,56.16,48.64,32.06,20.08,26.25,80,50.38,36.37,39.63,15.61,50.85,35.47
Endogenous,WAS,406.42,281.74,737.05,291.56,465.79,270.54,379.38,612.54,328.98,227.62,366.39,462.58,295.49,477.37,352.42,287.58,215.98,229.93,358.14,320.65,262.39,221.14,313.29,267.32,301.59,248.66,399.26,353.62,282.6,622.03,405.53,274.13,260.23,290.93,715.85,188.86,274.35,282.96,358.57,311.32,285.64,303.28,234.31,364.25,531.18,301.03,249.37,143.88,227.74,232.06,293.7,245.98,314.98,403.13,355.21,189.26,261.9,364.46,510.09,281.64,241.34,252.06,281.61,237.2,347.62,365,236.01,346.53,324.57,264.21,263.15,246.17,249.74,258.97,256.61,450.96,298.39,306.45,334.24,210.48,248.87,200.7,243.21,304.58,348.3,236.28,278.86,753.33,194.45,550.27,460.83,262.37,275.07
Endogenous,XIST,9576.35,131.48,4776.07,81.26,9712.78,9566.82,9794,5757.91,44.29,58.11,7676.39,8772.71,50.95,6518.44,9102.77,9336.75,33.88,53.38,8444.49,16.03,94.63,68.45,37.41,39.6,109.67,9280.61,4403.49,81.81,19.49,50.89,7975.38,7852.89,53.84,72.73,6028.19,74.01,6587.05,8083.29,8728.15,7211.83,7409.57,41.94,41.7,6888.69,23.17,21.67,48.85,54.94,9627.74,8021.18,48.19,8157.49,10848.94,5665.16,25.15,22.15,48.39,5511.42,4903.65,65.8,15.57,44.69,34.52,45.91,7794.83,58.22,23.6,8312.38,70.01,9842.75,41.38,40.59,61.47,8828.45,28.03,9233.06,7774.79,43.15,69.79,39.71,46.7,43.27,45.25,24.05,9477.54,6259.48,28.93,57.41,32.97,27.94,11.56,38.64,28.78
Housekeeping,GAPDH,175860.62,148155.14,134529.66,187676.3,140125.2,190340.64,178471.86,123121.34,171738.64,184097.77,177221.3,174778.78,125043.1,164630.69,165354.14,168287.72,217606.08,166072.14,204740.56,129061.32,192124.17,192872.58,188214.2,173723.95,165864.92,194624.14,167264.59,173498.61,200531.8,188125.36,189782.42,139465.47,218379.66,163854.88,101725.62,178117.12,174373.34,153069.34,162463.8,189403.34,188267.11,135360.98,152133.72,178949.64,116078.66,211900.58,178561.5,186075.88,158339.39,167576.42,205185.8,182503.81,186402.83,156614.08,182742.31,216942.09,172075.5,163356.39,146258.22,206648.22,159002.5,200901.12,172622.92,216579.89,163990.05,180075.2,212794.58,171618.84,193004.77,197349.83,132651.09,229642.72,198731.81,194639.14,163972.02,190756.36,157470.23,178545.38,139924.55,173471.5,179516.88,196490.09,196861.48,90339.63,112946.62,180737.45,125946.41,140013.02,123737.54,149439.41,158972.12,138938.34,152278.34
Housekeeping,GUSB,571.53,394.43,423.8,664.38,565.05,615.91,555.76,476.42,544.08,644.1,717.89,614.05,502.67,592.02,627.48,648.01,669.13,624.1,690.62,625.27,632.33,592.33,621.91,693.05,671.72,637.69,477.16,562.1,610.67,540.04,527.19,709.5,529.44,670.76,1130.28,479.8,499.8,654.6,683.42,629.59,434.18,635.59,699.95,426.39,709.9,635.77,624.71,617.37,675.36,628.82,569.05,626.12,670.47,491.23,597.25,523.48,668.98,510.88,556.05,534.33,653.95,618.53,643.17,533.07,619.58,568.77,533.97,613.1,568.53,670.73,651.73,623.29,584,734.21,685.73,683.57,736.55,819.9,712.55,565.91,702.57,575.41,520.36,496.94,810.19,553.19,766.98,481.52,855.85,874.46,528.48,685.42,732.85
Housekeeping,PGK1,19070.14,23722.1,12334.5,13909.03,15661.1,17211.07,17651.17,13938.78,16714.56,14712.71,13365.92,14896.83,14597.87,13593.46,14707.12,17086.06,14360.82,16895.86,11315.76,22108.76,15476.96,15445.29,14392.77,14410.58,15636.94,14394.17,12671,15915.58,14688.67,16565.87,15198.27,18189.04,15726.1,14427.36,11867.99,16119.15,15423.19,15649.23,14983.13,12162.41,18246.86,16299.46,13067.66,15212.98,14323.67,14880.31,15422.35,14832.5,13534.59,16251.97,14971.96,17088.7,15065.22,12713.23,14069.92,14367.51,14256.36,12477.49,11554.04,16066.7,13958.65,14111.81,12708.89,15283.07,14401.63,15947.87,16107.62,15267.5,14741.59,12831.48,13367.52,13368.05,15764.07,12827.36,11393.4,12138.42,10899.57,9683.06,13420.95,14284.86,13241.57,12520.92,15475.16,21512.87,12254.53,13953.51,12183.62,14660.08,14105.34,11666.85,15713.98,15699.51,11920.42
Housekeeping,POLR2A,1606.64,1634.06,1282.46,1768.5,1557.71,1174.27,1474.26,1402.05,1834.68,1854.83,1668.13,1555.59,1935.97,1244.49,1504.24,1637.29,1283.2,1272.84,1392.53,977.98,1509.84,1521.63,1337.34,1613.83,1562.78,1407.73,1061.43,1649.35,1575.41,1402.4,1613.1,1322.25,1368.46,1468.8,1394.02,1692.05,1502.12,1604.83,1792.83,1410.68,1633.88,1826.11,1691.79,1347.74,1318.85,1146.31,1452.51,1595.74,1150.46,1040.55,1452.45,1343.93,1120.44,905.04,977.6,1371.11,1121.61,1050.4,997.93,1708.27,1959.89,1018.97,1150.07,1244.68,1549.97,1509.25,1109.24,1228.42,1652.57,1480.86,1608.63,1446.93,1075.78,1281.08,1775.68,1394.15,1565.16,1662.31,1847.49,1824.82,1851.93,1600.1,1677.61,1579,2374.09,1565.81,2443.32,2388.87,1958.04,1291.55,2137.64,1675.92,1913.45
Housekeeping,RPLP0,16523.65,22463.68,56421.01,16590.46,26343.63,21476.42,19714.47,44389.02,17758.43,15724.88,17938.39,20460.11,28645.52,30862,22168.13,16679.61,18964.25,22828.91,22837.77,29163.05,17924.54,18951.87,22585.14,18172.87,18689.39,20233.66,47404.26,19876.67,17956.42,21559.1,20744.99,21381.8,20450.66,21848.12,26750.07,21830.78,25201.9,20220.89,17060.97,24871.02,20880.48,19871.01,21614.96,32525.78,32688.29,22143.47,20363.47,18714.58,30559.82,28555.1,20040.62,19389.7,24121,57484.52,33895.42,22745.2,27644.47,46521.6,54264.84,16790.55,17888.17,28477.47,31357.08,23169.46,22435.71,20641.31,25064.16,25785.7,19035.3,20230.7,27371.9,18379.28,25853.38,21668.2,22368.88,23059.77,25717.03,21595.05,20583.19,19884.43,16452.47,22464.01,19133.54,33367.39,19113.22,23293.98,17695.34,21551.37,17397.35,25841.45,18030.86,20308.28,19990.51
